iso3,region,EPI.new,HLT.new,AIR.new,H2O.new,HMT.new,WMG.new,ECO.new,BDH.new,ECS.new,FSH.new,CCH.new,APE.new,AGR.new,WRS.new
CHL,Latin America & Caribbean,55.3,63.4,56.1,68.1,97.8,65.7,49.8,65.3,27.5,16.6,54.3,34.6,40.2,71.9
CHN,Asia-Pacific,37.3,41.8,27.1,59.4,37.6,51.8,34.4,19.0,34.3,18.0,46.3,58.6,49.5,9.4
CIV,Sub-Saharan Africa,25.8,19.4,20.3,17.2,44.9,2.1,30.1,62.0,15.7,16.9,20.2,31.8,32.0,0.6
CMR,Sub-Saharan Africa,33.6,13.6,16.4,7.7,36.1,10.2,46.9,48.6,31.5,10.5,66.4,39.8,40.4,0.0
COD,Sub-Saharan Africa,36.4,22.4,29.9,13.5,36.1,3.5,45.7,73.3,27.7,,40.1,47.8,31.7,0.0
COG,Sub-Saharan Africa,30.8,18.1,20.0,14.6,45.1,0.0,39.2,71.7,35.8,11.4,37.1,0.0,34.3,0.3
COL,Latin America & Caribbean,52.9,55.0,49.1,55.8,61.9,100.0,51.6,76.8,36.4,15.8,55.4,52.5,22.3,25.6
COM,Sub-Saharan Africa,32.1,27.3,37.7,15.2,47.1,0.0,35.3,36.3,35.7,18.6,41.7,44.5,37.3,0.1
CPV,Sub-Saharan Africa,32.8,30.4,26.5,35.5,59.5,0.0,34.5,14.3,93.7,20.7,39.5,35.1,16.7,20.9
CRI,Latin America & Caribbean,52.5,60.5,56.2,66.1,53.8,64.8,47.2,70.1,35.4,10.8,54.8,33.6,19.4,9.7
CUB,Latin America & Caribbean,48.4,50.5,53.9,49.6,48.3,25.9,47.0,51.1,25.2,10.0,64.2,76.1,21.4,3.6
CYP,Eastern Europe,64.8,81.5,73.1,93.9,69.4,77.5,53.7,56.5,38.6,20.2,63.1,91.5,27.7,50.0
CZE,Eastern Europe,71.0,68.3,58.8,76.4,76.4,89.5,72.9,85.7,26.7,,76.3,100.0,58.7,60.8
DEU,Global West,77.2,89.6,81.1,99.0,90.7,97.9,68.9,88.8,39.7,14.0,71.5,96.0,61.9,97.0
DJI,Sub-Saharan Africa,28.1,20.1,21.1,18.3,46.2,0.0,33.4,23.0,73.9,6.2,40.1,55.5,15.7,0.0
DMA,Latin America & Caribbean,44.6,46.8,44.2,47.5,52.8,62.4,43.1,56.3,5.3,31.0,55.1,47.3,17.8,1.0
DNK,Global West,82.5,91.7,85.5,97.4,100.0,99.8,76.4,81.7,30.2,13.2,95.0,100.0,73.0,100.0
DOM,Latin America & Caribbean,46.3,36.1,37.4,38.9,30.0,5.7,53.2,81.6,26.6,21.8,56.1,79.3,24.2,5.8
DZA,Greater Middle East,44.8,50.4,45.3,53.2,38.9,91.6,41.0,39.0,24.0,8.1,52.5,61.7,44.8,33.1
ECU,Latin America & Caribbean,51.0,50.2,48.7,50.2,63.0,53.6,51.5,77.3,38.3,13.5,60.2,28.4,29.2,0.0
EGY,Greater Middle East,43.3,33.8,35.3,36.6,13.5,16.3,49.7,50.6,62.5,12.1,55.0,56.3,53.0,42.0
ERI,Sub-Saharan Africa,30.4,15.5,22.1,6.3,38.3,0.0,40.4,33.7,97.1,9.0,43.4,57.1,22.3,0.0
ESP,Global West,74.3,86.8,80.2,96.8,71.3,89.0,66.0,87.6,24.4,17.9,71.2,100.0,36.2,91.5
EST,Eastern Europe,65.3,73.0,80.3,61.9,87.4,74.4,60.1,87.0,22.4,16.4,59.0,96.6,51.8,69.6
